id,is_acvite,name,description,tags,packages,number_of_units,created_time,updated_time
198,1,"IELTS New 2021_LISTENING","Bộ IELTS mới đầy đủ 04 kỹ năng",,,5,1970-01-01 08:34:44.000000,
199,1,"IELTS New 2021_READING","Bộ IETLS mới đầy đủ 04 kỹ năng với các audio và bài tập",,,4,1970-01-01 08:35:18.000000,
200,1,"IELTS New 2021_WRITING ","Bộ mới đầy đủ 04 kỹ năng với audio",,,3,1970-01-01 08:34:53.000000,
201,1,"DESTINATION B1","Giáo trình chuyên luyện ngữ pháp",,,54,1970-01-01 08:35:39.000000,
202,1,"DESTINATION B2","Giáo trình chuyên luyện ngữ pháp",,,47,1970-01-01 08:35:43.000000,
203,1,"Real listening and speaking 2","Cải thiện nghe nói tốt",,,34,1970-01-01 08:34:55.000000,
204,1,"Real Listening and speaking 1","Cải thiện kỹ năng nghe, nói. ",,,34,1970-01-01 08:35:13.000000,
205,1,"Real listening and speaking 4","Cải thiện nghe nói tốt",,,34,1970-01-01 08:35:23.000000,
206,1,"Real Listening and speaking 3","Cải thiện nghe nói tốt",,,35,1970-01-01 08:35:29.000000,
207,1,"LET'S GO BEGIN FOURTH EDITION","Dành cho trẻ em 5-8 tuổi (Mẫu giáo lớn và các lớp đầu tiểu học)",,,30,1970-01-01 08:35:20.000000,
208,1,"DESTINATION C1&C2","Destination C1&C2 là cuốn thứ 3 và cũng là cuốn có độ khó cao nhất trong bộ sách Destination của NXB MACMILLAN. ",,,43,1970-01-01 08:35:07.000000,
209,1,"SOLUTIONS ELEMENTARY THIRD EDITION","Bộ sách Solutions giúp học sinh phát triển đồng đều bốn kỹ năng nghe – nói – đọc – viết. ",,,60,1970-01-01 08:35:10.000000,
210,1,"SOLUTIONS PRE-INTERMEDIATE THIRD EDITION","Bộ sách Solutions giúp học sinh phát triển đồng đều bốn kỹ năng nghe – nói – đọc – viết. ",,,60,1970-01-01 08:34:34.000000,
211,1,"SOLUTIONS INTERMEDIATE THIRD EDITION","Bộ sách Solutions giúp học sinh phát triển đồng đều bốn kỹ năng nghe – nói – đọc – viết.",,,60,1970-01-01 08:35:02.000000,
212,1,"SOLUTIONS UPPER-INTERMEDIATE THIRD EDITION","Bộ sách Solutions giúp học sinh phát triển đồng đều bốn kỹ năng nghe – nói – đọc – viết. ",,,60,1970-01-01 08:34:37.000000,
213,1,"SOLUTIONS ADVANCED THIRD EDITION","Bộ sách Solutions giúp học sinh phát triển đồng đều bốn kỹ năng nghe – nói – đọc – viết. ",,,60,1970-01-01 08:34:52.000000,
214,1,"LET'S GO 1 - FOURTH EDITION","Let's Go là bộ sách học tiếng Anh tiểu học do nhà xuất bản Oxford phát hành. Bộ sách hiện có 6 quyển, bao gồm Let's Go 1, 2, 3, 4, 5 và 6. ",,,30,1970-01-01 08:35:33.000000,
215,1,"LET'S GO 2 - FOURTH EDITION","Let's Go là bộ sách học tiếng Anh tiểu học do nhà xuất bản Oxford phát hành. Bộ sách hiện có 6 quyển, bao gồm Let's Go 1, 2, 3, 4, 5 và 6. ",,,30,1970-01-01 08:34:48.000000,
216,1,"LET'S GO 3 - FOURTH EDITION","Let's Go là bộ sách học tiếng Anh tiểu học do nhà xuất bản Oxford phát hành. Bộ sách hiện có 6 quyển, bao gồm Let's Go 1, 2, 3, 4, 5 và 6. ",,,30,1970-01-01 08:34:42.000000,
217,1,"LET'S GO 4 - FOURTH EDITION","Let's Go là bộ sách học tiếng Anh tiểu học do nhà xuất bản Oxford phát hành. Bộ sách hiện có 6 quyển, bao gồm Let's Go 1, 2, 3, 4, 5 và 6. ",,,30,1970-01-01 08:35:03.000000,
218,1,"LET'S GO 5 - FOURTH EDITION","Let's Go là bộ sách học tiếng Anh tiểu học do nhà xuất bản Oxford phát hành. Bộ sách hiện có 6 quyển, bao gồm Let's Go 1, 2, 3, 4, 5 và 6. ",,,30,1970-01-01 08:34:49.000000,
219,1,"LET'S GO 6 - FOURTH EDITION","Let's Go là bộ sách học tiếng Anh tiểu học do nhà xuất bản Oxford phát hành. Bộ sách hiện có 6 quyển, bao gồm Let's Go 1, 2, 3, 4, 5 và 6. ",,,30,1970-01-01 08:34:53.000000,
1,1,"Buổi học trải nghiệm E+","Buổi học trải nghiệm E+",,,16,1664938510712,1665558362608
