id,is_acvite,name,description,tags,packages,number_of_units,created_time,updated_time
51,1,"SOLUTIONS ELEMENTARY","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,28,1970-01-01 08:35:13.000000,
52,1,"SOLUTIONS PRE-INTERMEDIATE","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,10,1970-01-01 08:36:12.000000,
53,1,"SOLUTIONS INTERMEDIATE","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,10,1970-01-01 08:36:09.000000,
54,1,"SOLUTIONS UPPER-INTERMEDIATE","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,10,1970-01-01 08:35:48.000000,
55,1,"SOLUTIONS ADVANCED","Giáo trình tiếng Anh chuẩn mực của Oxford. Dành cho học sinh lớp 6 - lớp 12.",,,10,1970-01-01 08:35:28.000000,
56,1,"VOCABULARY","Học từ vựng với nhiều chủ đề đa dạng, phong phú trong cuộc sống",,,1,1970-01-01 08:35:42.000000,
57,1,"OXFORD READ AND DISCOVERY - LEVEL 1","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 3 - lớp 5",,,31,1970-01-01 08:35:22.000000,
58,1,"OXFORD READ AND DISCOVERY - LEVEL 2","Giáo trình Oxford Read and Discovery - Level 2",,,42,1970-01-01 08:34:49.000000,
59,1,"OXFORD READ AND DISCOVERY - LEVEL 3","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 6 - lớp 8",,,58,1970-01-01 08:35:23.000000,
60,1,"OXFORD READ AND DISCOVERY - LEVEL 4","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 7 - lớp 9",,,50,1970-01-01 08:35:52.000000,
61,1,"OXFORD READ AND DISCOVERY - LEVEL 5","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 7 - lớp 9",,,80,1970-01-01 08:35:31.000000,
62,1,"OXFORD READ AND DISCOVERY - LEVEL 6","Giáo trình luyện đọc về nhiều chủ đề đa dạng trong cuộc sống - dành cho học sinh lớp 7 - lớp 9",,,80,1970-01-01 08:35:21.000000,
63,1,"ENGLISH FOR BEGINNER","Dành cho người mới bắt đầu học tiếng Anh",,,10,1970-01-01 08:35:11.000000,
64,1,"NEW ENGLISH FILE - BEGINNER","Giáo trình học tiếng Anh dành cho người trên 15 tuổi (Đại học Oxford biên soạn)",,,28,1970-01-01 08:35:22.000000,
65,1,"NEW ENGLISH FILE - ELEMENTARY","NEW ENGLISH FILE - ELEMENTARY",,,34,1970-01-01 08:35:31.000000,
66,1,"NEW ENGLISH FILE - PRE-INTERMEDIATE","NEW ENGLISH FILE - PRE-INTERMEDIATE",,,36,1970-01-01 08:34:57.000000,
67,1,"NEW ENGLISH FILE - INTERMEDIATE","NEW ENGLISH FILE - INTERMEDIATE",,,27,1970-01-01 08:35:03.000000,
68,1,"NEW ENGLISH FILE - UPPER  INTERMEDIATE","NEW ENGLISH FILE - UPPER  INTERMEDIATE",,,29,1970-01-01 08:35:38.000000,
69,1,"NEW ENGLISH FILE - ADVANCED","NEW ENGLISH FILE - ADVANCED",,,34,1970-01-01 08:35:02.000000,
70,1,"GRAMMAR IN USE - INTERMEDIATE","Sử dụng ngữ pháp tiếng Anh chuẩn mực",,,145,1970-01-01 08:35:31.000000,
71,1,"GRAMMAR IN USE - ADVANCED","Sử dụng ngữ pháp tiếng Anh chuẩn mực - trình độ cao",,,102,1970-01-01 08:35:33.000000,
72,1,"LET'S GO 5","Let's Go 5",,,20,1970-01-01 08:35:21.000000,
73,1,"TOEIC Beginner Pre-intermediate Vocabulary Grammar I","TOEIC Beginner Pre-intermediate Vocabulary Grammar",,,50,1970-01-01 08:34:55.000000,
74,1,"TOEIC Beginner Pre-intermediate Vocabulary Grammar II","TOEIC Beginner Pre-intermediate Vocabulary Grammar II",,,50,1970-01-01 08:35:14.000000,
75,1,"TOEIC Beginner Pre-intermediate Reading Listening I","TOEIC Beginner Pre-intermediate Reading Listening I",,,50,1970-01-01 08:35:10.000000,
76,1,"TOEIC Beginner Pre-intermediate Reading Listening II","TOEIC Beginner Pre-intermediate Reading Listening II",,,50,1970-01-01 08:34:55.000000,
77,1,"TOEIC Intermediate Advanced Vocabulary Grammar I","TOEIC Intermediate Advanced Vocabulary Grammar I",,,50,1970-01-01 08:35:25.000000,
78,1,"TOEIC Intermediate Advanced Vocabulary Grammar II","TOEIC Intermediate Advanced Vocabulary Grammar II",,,50,1970-01-01 08:35:24.000000,
79,1,"TOEIC Intermediate Advanced Reading Listening I","TOEIC Intermediate Advanced Reading Listening I",,,50,1970-01-01 08:35:18.000000,
80,1,"TOEIC Intermediate Advanced Reading Listening II","TOEIC Intermediate Advanced Reading Listening II",,,50,1970-01-01 08:34:54.000000,
81,1,"OUR DISCOVERY ISLAND - STARTER","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,10,1970-01-01 08:35:16.000000,
82,1,"OUR DISCOVERY ISLAND - LEVEL 1","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,11,1970-01-01 08:34:58.000000,
83,1,"OUR DISCOVERY ISLAND - LEVEL 2","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,10,1970-01-01 08:35:47.000000,
84,1,"OUR DISCOVERY ISLAND - LEVEL 3","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,10,1970-01-01 08:35:40.000000,
85,1,"THE LAWYERS' ENGLISH LANGUAGE MODULE 1","The courses are aimed at lawyers, legal professionals, law graduates and law students. They include preparation for International Legal English Exams (ILEC & TOLES).",,,10,1970-01-01 08:34:42.000000,
86,1,"THE LAWYERS' ENGLISH LANGUAGE MODULE 2","The courses are aimed at lawyers, legal professionals, law graduates and law students. They include preparation for International Legal English Exams (ILEC & TOLES).",,,10,1970-01-01 08:35:21.000000,
87,1,"LET'S GO 0 - BEGIN","Dành cho trẻ em 5-8 tuổi (Mẫu giáo lớn và các lớp đầu tiểu học)",,,20,1970-01-01 08:35:36.000000,
88,1,"Cambridge Fun for Movers (Module 1)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Movers.",,,17,1970-01-01 08:34:38.000000,
89,1,"PEPPA PIG SERIES","Học tiếng Anh vui cùng giáo trình Peppa Pig",,,15,1970-01-01 08:34:22.000000,
90,1,"Cambridge Fun for Movers (Module 2)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Movers.",,,18,1970-01-01 08:35:00.000000,
91,1,"Cambridge Fun for Movers (Module 3)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Movers.",,,18,1970-01-01 08:35:24.000000,
92,1,"Cambridge Fun for Starters (Module 1)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Starters.",,,15,1970-01-01 08:34:13.000000,
93,1,"Cambridge Fun for Starters (Module 2)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Starters.",,,16,1970-01-01 08:35:43.000000,
94,1,"Cambridge Fun for Starters (Module 3)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Starters.",,,17,1970-01-01 08:34:34.000000,
95,1,"Cambridge Fun for Flyers (Module 1)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Flyers.",,,19,1970-01-01 08:35:11.000000,
96,1,"Cambridge Fun for Flyers (Module 2)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Flyers.",,,20,1970-01-01 08:35:01.000000,
97,1,"Cambridge Fun for Flyers (Module 3)","Cuốn sách giúp các con ôn luyện cho cuộc thi Young Learners English của Đại học Cambridge - cấp độ Flyers.",,,20,1970-01-01 08:35:36.000000,
98,1,"MATH CONCEPT GRADE 1","Học toán tiểu học qua giáo trình của HARCOURT SCHOOL PUBLISHERS (Hoa Kỳ)",,,8,1970-01-01 08:35:23.000000,
99,1,"MATH CONCEPT GRADE 2","Toán tiểu học - Lớp 2 - Chương trình Mỹ",,,8,1970-01-01 08:35:38.000000,
100,1,"MATH CONCEPT GRADE 3","Toán tiểu học - Lớp 3 (Chương trình Mỹ)",,,8,1970-01-01 08:35:29.000000,
101,1,"MATH CONCEPT GRADE 4","Toán tiểu học - Lớp 4 - Chương trình Mỹ",,,8,1970-01-01 08:35:11.000000,
102,1,"MATH CONCEPT GRADE 5","Toán tiểu học - Lớp 5 - Chương trình Mỹ",,,8,1970-01-01 08:35:30.000000,
103,1,"MATH CONCEPT GRADE 6","Toán tiểu học - Lớp 5 - Chương trình Mỹ",,,8,1970-01-01 08:34:53.000000,
104,1,"MATH CONCEPT READER GRADE 3","Toán tiểu học - Chương trình Hoa Kỳ",,,0,1970-01-01 08:35:18.000000,
105,1,"ENGLISH FOR ACCOUNTANT","Tiếng Anh chuyên ngành kế toán",,,21,1970-01-01 08:34:57.000000,
106,1,"CAMBRIDGE TEST FOR STARTERS","Luyện tập thực tế các bài thi Cambridge Starters (Listening - Reading - Writing - Speaking)",,,79,1970-01-01 08:35:06.000000,
107,1,"CAMBRIDGE TEST FOR MOVERS","Luyện tập thực tế các bài thi Cambridge Starters (Listening - Reading - Writing - Speaking)",,,81,1970-01-01 08:36:00.000000,
108,1,"CAMBRIDGE TEST FOR FLYERS","Luyện thi Cambridge Flyers (Listening  - Reading - Writing - Speaking)",,,77,1970-01-01 08:35:56.000000,
109,1,"Cambridge Prepare Level 1","Cambridge English Prepare! Level 1",,,62,1970-01-01 08:35:00.000000,
110,1,"Cambridge Prepare Level 2","Cambridge English Prepare! Level 2",,,64,1970-01-01 08:34:50.000000,
111,1,"Cambridge Prepare Level 3","Cambridge English Prepare! Level 3",,,64,1970-01-01 08:34:57.000000,
112,1,"Cambridge Prepare Level 4","Cambridge Prepare Level 4",,,41,1970-01-01 08:35:32.000000,
113,1,"Cambridge Prepare Level 5","Cambridge Prepare Level 5",,,44,1970-01-01 08:35:23.000000,
114,1,"Cambridge Prepare Level 6","Cambridge Prepare Level 6",,,43,1970-01-01 08:35:30.000000,
115,1,"Cambridge Prepare Level 7","Cambridge Prepare Level 7",,,41,1970-01-01 08:35:07.000000,
116,1,"ESSENTIAL GRAMMAR IN USE","Giáo trình Ngữ pháp cho người mất căn bản",,,109,1970-01-01 08:35:08.000000,
117,1,"Headway 1","Headway 1",,,19,1970-01-01 08:35:28.000000,
118,1,"Headway 2","Headway 2",,,18,1970-01-01 08:35:32.000000,
119,1,"Headway 3","Headway 3",,,18,1970-01-01 08:35:30.000000,
120,1,"New Headway","Giáo trình dành cho người lớn mất gốc và trẻ em",,,14,1970-01-01 08:34:59.000000,
121,1,"Oxford Discover Foundation","Giáo trình dành cho thiếu nhi",,,29,1970-01-01 08:35:35.000000,
122,1,"Oxford Discover 1","Giáo trình dành cho thiếu nhi từ 6-10 tuổi",,,39,1970-01-01 08:35:21.000000,
123,1,"Oxford Discover 2","Giáo trình dành cho thiếu nhi",,,39,1970-01-01 08:35:12.000000,
124,1,"Oxford Discover 3","Giáo trình tiếng Anh dành cho thiếu nhi",,,39,1970-01-01 08:35:30.000000,
127,1,"Oxford Discover 4","Giáo trình tiếng Anh dành cho thiếu nhi",,,39,1970-01-01 08:34:23.000000,
128,1,"Oxford Discover 5","Tiếng Anh dành cho thiếu nhi",,,39,1970-01-01 08:34:54.000000,
129,1,"Oxford Discover 6","Giáo trình tiếng Anh dành cho thiếu nhi",,,39,1970-01-01 08:35:38.000000,
130,1,"American Headway 1","Giáo trình tiếng Anh dành cho thiếu nhi và người lớn mất gốc",,,14,1970-01-01 08:35:30.000000,
131,1,"American Headway 2","Giáo trình tiếng Anh dành cho thiếu nhi và người lớn mất gốc",,,15,1970-01-01 08:34:42.000000,
132,1,"American Headway 3","Giáo trình tiếng Anh dành cho thiếu nhi và người lớn mất gốc",,,14,1970-01-01 08:35:08.000000,
133,1,"Entry Basic Conversation","Giáo trình tiếng Anh sơ cấp dành cho trẻ em",,,10,1970-01-01 08:34:58.000000,
134,1,"Story fun for Movers","Giáo trình tiếng Anh dành cho thiếu nhi",,,10,1970-01-01 08:35:20.000000,
135,1,"Beginner Basic Conversation","Giáo trình tiếng Anh giao tiếp dành cho thiếu nhi và người lớn mất gốc",,,100,1970-01-01 08:34:48.000000,
136,1,"English For Travel And Tourism","Giáo trình tiếng Anh du lịch dành cho người lớn",,,12,1970-01-01 08:35:13.000000,
137,1,"OUR DISCOVERY ISLAND 4","Giáo trình tiếng Anh chuẩn mực của Oxford - Dành cho học sinh tiểu học",,,13,1970-01-01 08:34:35.000000,
138,1,"Cambridge English IELTS Test 10 ","Giáo trình luyện thi IELTS chuẩn Cambridge",,,16,1970-01-01 08:36:05.000000,
139,1,"Cambridge English IELTS Test 11 ","Giáo trình luyện thi IELTS chuẩn Cambridge",,,16,1970-01-01 08:35:41.000000,
140,1,"Cambridge English IELTS Test 12 ","Giáo trình luyện thi IELTS chuẩn Cambridge",,,16,1970-01-01 08:34:26.000000,
141,1,"Cambridge English IELTS Test 13","Giáo trình luyện thi IELTS chuẩn Cambridge",,,4,1970-01-01 08:35:17.000000,
142,1,"Basic Conversation for Kids","Basic Conversation for Kids",,,63,1970-01-01 08:34:27.000000,
143,1,"Show and Tell 1","Show and Tell 1 là Giáo trình tiếng anh cho trẻ mầm non",,,26,1970-01-01 08:34:47.000000,
144,1,"Show and Tell 2","Show and Tell 2 là Tiếng Anh cho trẻ mẫu giáo",,,26,1970-01-01 08:34:21.000000,
145,1,"Show and Tell 3","Show and Tell 3 là Tiếng Anh cho trẻ mẫu giáo",,,26,1970-01-01 08:34:42.000000,
146,1,"English for Everyday Activities","English for Everyday Activities",,,31,1970-01-01 08:35:58.000000,
147,1,"Basic Conversation for Adults","Basic Conversation for Adults",,,41,1970-01-01 08:35:06.000000,
149,1,"LET'S GO 6","Let's go 6",,,20,1970-01-01 08:35:08.000000,
150,1,"SCIENCE INTERACTIVE - GRADE 6","Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 6",,,7,1970-01-01 08:35:10.000000,
151,1,"Smart Phonics 1","Smart Phonics là giáo trình dành cho học viên từ 6-10 tuổi",,,12,1970-01-01 08:35:03.000000,
152,1,"Smart Phonics 2","Giáo trình cho học sinh từ 6- 10 tuổi",,,12,1970-01-01 08:35:31.000000,
153,1,"Smart Phonics 3","Giaó trình tiếng Anh cho học viên từ 6-10 tuổi nâng cao",,,11,1970-01-01 08:35:06.000000,
154,1,"Smart Phonics 4","Giáo trình tiếng Anh cho học viên từ 6-10 tuổi nâng cao",,,12,1970-01-01 08:35:45.000000,
155,1,"Smart Phonics 5","Giáo trình tiếng Anh cho học viên từ 6-10 tuổi nâng cao",,,12,1970-01-01 08:35:37.000000,
156,1,"SCIENCE - GRADE 7","Khoa học - Giáo trình chuẩn Hoa Kỳ - Lớp 7",,,96,1970-01-01 08:34:47.000000,
157,1,"Grammar Friends 6","Grammar Friends 6",,,30,1970-01-01 08:35:18.000000,
158,1,"Grammar Friends 2","Chú trọng giảng dạy ngữ pháp cho các bạn học sinh từ 6-10 tuổi",,,23,1970-01-01 08:35:34.000000,
159,1,"Grammar Friends 1","Sách luyện tập ngữ pháp phù hợp cho trẻ em lứa tuổi tiểu học ",,,23,1970-01-01 08:35:53.000000,
160,1,"Grammar Friends 3","Giáo trình ngữ pháp phù hợp cho lứa tuổi học sinh tiểu học",,,22,1970-01-01 08:35:09.000000,
164,1,"Grammar Friends 4","GIáo trình tập trung củng cố cả từ vựng và ngữ pháp với các chủ đề phù hợp với lứa tuổi tiểu học.",,,23,1970-01-01 08:35:38.000000,
165,1,"Jolly Phonics","Jolly Phonics 1",,,4,1970-01-01 08:35:36.000000,
166,1,"Final Test for Elementary","test",,,1,1970-01-01 08:35:35.000000,
167,1,"Progressive Phonics","Progressive Phonics",,,1,1970-01-01 08:35:05.000000,
168,1,"Explore Our World 1","Explore our world 1",,,11,1970-01-01 08:35:20.000000,
169,1,"Explore Our World 3","Explore our world 3",,,14,1970-01-01 08:35:37.000000,
170,1,"Explore Our World 4","Explore Our World 4",,,12,1970-01-01 08:35:56.000000,
171,1,"Achieve IELTS Grammar and Vocabulary","Achieve IELTS Grammar and Vocabulary",,,1,1970-01-01 08:36:04.000000,
172,1,"IELTS_Reading","IELTS_Reading",,,0,1970-01-01 08:34:55.000000,
173,1,"Explore Our World 2","Explore Our World 2 Workbook full",,,12,1970-01-01 08:35:20.000000,
174,1,"IELTS Listening ","IELTS Listening Bản Vẽ",,,27,1970-01-01 08:35:17.000000,
